"temperature","feels_like","humidity","time","location"
21.0,19.6,17.0,"2021-01-02 00:30:00",Guest Room
22.0,21.93,64.0,"2021-01-02 00:30:00",Fernanda's Room
19.0,18.29,51.0,"2021-01-02 00:45:00",Master Room
20.0,18.53,18.0,"2021-01-02 00:45:00",Kids Room
21.0,19.6,17.0,"2021-01-02 00:45:00",Guest Room
22.0,21.93,64.0,"2021-01-02 00:45:00",Fernanda's Room
19.0,18.29,51.0,"2021-01-02 01:00:00",Master Room
19.0,17.43,18.0,"2021-01-02 01:00:00",Kids Room
21.0,19.6,17.0,"2021-01-02 01:00:00",Guest Room
22.0,21.95,65.0,"2021-01-02 01:00:00",Fernanda's Room
19.0,18.26,50.0,"2021-01-02 01:15:00",Master Room
19.0,17.43,18.0,"2021-01-02 01:15:00",Kids Room
21.0,19.6,17.0,"2021-01-02 01:15:00",Guest Room
21.0,20.83,64.0,"2021-01-02 01:15:00",Fernanda's Room
19.0,18.29,51.0,"2021-01-02 01:30:00",Master Room
19.0,17.43,18.0,"2021-01-02 01:30:00",Kids Room
21.0,19.6,17.0,"2021-01-02 01:30:00",Guest Room
21.0,20.85,65.0,"2021-01-02 01:30:00",Fernanda's Room
19.0,18.31,52.0,"2021-01-02 01:45:00",Master Room
19.0,17.43,18.0,"2021-01-02 01:45:00",Kids Room
21.0,19.6,17.0,"2021-01-02 01:45:00",Guest Room
21.0,20.85,65.0,"2021-01-02 01:45:00",Fernanda's Room
19.0,18.31,52.0,"2021-01-02 02:00:00",Master Room
19.0,17.43,18.0,"2021-01-02 02:00:00",Kids Room
21.0,19.6,17.0,"2021-01-02 02:00:00",Guest Room
21.0,20.85,65.0,"2021-01-02 02:00:00",Fernanda's Room
19.0,18.29,51.0,"2021-01-02 02:15:00",Master Room
19.0,17.43,18.0,"2021-01-02 02:15:00",Kids Room
21.0,19.6,17.0,"2021-01-02 02:15:00",Guest Room
21.0,20.85,65.0,"2021-01-02 02:15:00",Fernanda's Room
19.0,18.31,52.0,"2021-01-02 02:30:00",Master Room
19.0,17.43,18.0,"2021-01-02 02:30:00",Kids Room
21.0,19.6,17.0,"2021-01-02 02:30:00",Guest Room
21.0,20.85,65.0,"2021-01-02 02:30:00",Fernanda's Room
19.0,18.31,52.0,"2021-01-02 02:45:00",Master Room
19.0,17.43,18.0,"2021-01-02 02:45:00",Kids Room
